topological coefficient,degree
0.036847471,37
0.036748445,37
0.035533246,37
0.03513259,37
0.035001769,37
0.034919658,37
0.034234234,37
0.030331886,37
0.069237844,36
0.056279564,36
0.055353029,36
0.051832191,36
0.051775419,36
0.051624343,36
0.051620943,36
0.050810874,36
0.04877072,36
0.047754391,36
0.047582389,36
0.047566642,36
0.045719114,36
0.045715653,36
0.045561706,36
0.045507572,36
0.044579125,36
0.044299652,36
0.043983402,36
0.04284528,36
0.042802146,36
0.042772792,36
0.042717564,36
0.042278204,36
0.042134278,36
0.040962682,36
0.040937834,36
0.039714482,36
0.039043091,36
0.038259557,36
0.037474704,36
0.036661495,36
0.06117629,35
0.059878649,35
0.059029066,35
0.055744942,35
0.052736521,35
0.052418166,35
0.050847221,35
0.050125749,35
0.049838553,35
0.048375272,35
0.048023102,35
0.047818573,35
0.047452675,35
0.047192387,35
0.046214505,35
0.045333465,35
0.045012474,35
0.044911026,35
0.044809341,35
0.04460018,35
0.044437254,35
0.042402311,35
0.041489498,35
0.041446073,35
0.041201935,35
0.040943683,35
0.040851456,35
0.040403098,35
0.039765773,35
0.039714039,35
0.039044652,35
0.038033873,35
0.03693613,35
0.034518505,35
0.03318872,35
0.029739994,35
0.073703821,34
0.073294815,34
0.07323817,34
0.055445151,34
0.054358843,34
0.052906613,34
0.051022141,34
0.048915739,34
0.048609369,34
0.047938036,34
0.047384919,34
0.046266287,34
0.045927983,34
0.045688093,34
0.0443555,34
0.041363542,34
0.04107419,34
0.040413112,34
0.039170444,34
0.038562751,34
0.037534275,34
0.036945968,34
0.03403092,34
0.032178924,34
0.074340472,33
0.065308401,33
0.061007895,33
0.058750065,33
0.056469477,33
0.056459003,33
0.05626249,33
0.05471231,33
0.054497757,33
0.053669222,33
0.052028877,33
0.051636009,33
0.051557661,33
0.051082597,33
0.050507814,33
0.050492114,33
0.050133234,33
0.0498904,33
0.049824533,33
0.049714795,33
0.048423695,33
0.047525616,33
0.047068164,33
0.046997521,33
0.045741471,33
0.045156394,33
0.044965432,33
0.044861292,33
0.044510784,33
0.044461162,33
0.044145548,33
0.044054258,33
0.043957539,33
0.043715444,33
0.043337825,33
0.043244219,33
0.041516286,33
0.041259976,33
0.041252937,33
0.040564664,33
0.040252985,33
0.039715758,33
0.03861356,33
0.038082353,33
0.037178265,33
0.035432385,33
0.080204745,32
0.064827793,32
0.062577373,32
0.06175432,32
0.060708485,32
0.060568731,32
0.058404503,32
0.056809132,32
0.054793409,32
0.054254048,32
0.053924419,32
0.053852576,32
0.053139857,32
0.052083333,32
0.052038279,32
0.051708055,32
0.051488626,32
0.050515683,32
0.049753499,32
0.049578059,32
0.049386161,32
0.049278846,32
0.049246587,32
0.049138002,32
0.048970499,32
0.048295455,32
0.047905363,32
0.047547891,32
0.046905498,32
0.045958012,32
0.045924225,32
0.045415411,32
0.044201334,32
0.043742265,32
0.043478261,32
0.043349582,32
0.042568729,32
0.042182705,32
0.042044019,32
0.041037088,32
0.04078125,32
0.039501834,32
0.03720543,32
0.035178987,32
0.075096287,31
0.068140378,31
0.067687459,31
0.06169828,31
0.061325521,31
0.060126949,31
0.05622154,31
0.05498573,31
0.054215358,31
0.054013298,31
0.053921927,31
0.051869844,31
0.051790216,31
0.050667256,31
0.0505188,31
0.050276576,31
0.04993317,31
0.049512897,31
0.049312224,31
0.04923783,31
0.049054986,31
0.049016426,31
0.048960761,31
0.048924731,31
0.048886147,31
0.048725565,31
0.047930373,31
0.047045424,31
0.046873847,31
0.046613263,31
0.046185154,31
0.046009413,31
0.045748977,31
0.045726944,31
0.045166208,31
0.045104322,31
0.044592308,31
0.044388053,31
0.044326595,31
0.044199107,31
0.043370185,31
0.043283366,31
0.042786364,31
0.041107236,31
0.041064516,31
0.04060835,31
0.04053713,31
0.040464063,31
0.039570804,31
0.03861881,31
0.038238702,31
0.037682907,31
0.06953867,30
0.069453312,30
0.069257655,30
0.068393904,30
0.064023103,30
0.060061382,30
0.059763009,30
0.059311841,30
0.058923945,30
0.058616924,30
0.058141113,30
0.057714005,30
0.05664563,30
0.055969383,30
0.055217575,30
0.054508553,30
0.053554841,30
0.053090309,30
0.052362319,30
0.051833193,30
0.051665992,30
0.05084798,30
0.050345388,30
0.049829214,30
0.049776198,30
0.049655914,30
0.049613436,30
0.049466608,30
0.048578492,30
0.048567644,30
0.048052071,30
0.047760934,30
0.047295806,30
0.046802721,30
0.046718576,30
0.046572521,30
0.046490526,30
0.045416882,30
0.04539104,30
0.045260088,30
0.044484996,30
0.044379584,30
0.044358228,30
0.04257358,30
0.04251497,30
0.041981226,30
0.041968558,30
0.041647554,30
0.041256641,30
0.040822421,30
0.040808081,30
0.040715209,30
0.040540541,30
0.039291947,30
0.038636892,30
0.037595288,30
0.036707566,30
0.036396724,30
0.072558366,29
0.071462985,29
0.069648626,29
0.066700586,29
0.064758017,29
0.064365023,29
0.061258318,29
0.059762392,29
0.058018034,29
0.057796664,29
0.056628516,29
0.055132626,29
0.054638519,29
0.054557729,29
0.054459549,29
0.054136568,29
0.052786871,29
0.051838826,29
0.051525199,29
0.051290043,29
0.050881945,29
0.050861865,29
0.050541377,29
0.050178211,29
0.050160166,29
0.05000174,29
0.049942482,29
0.04959172,29
0.049138925,29
0.047513702,29
0.046932684,29
0.046821254,29
0.045571613,29
0.043824571,29
0.043746783,29
0.043460518,29
0.042975619,29
0.042518279,29
0.042427452,29
0.041094497,29
0.039807824,29
0.039536532,29
0.07857376,28
0.075660156,28
0.074776458,28
0.072364317,28
0.070772968,28
0.0704947,28
0.069169735,28
0.067842989,28
0.064343367,28
0.064018385,28
0.061837376,28
0.061024144,28
0.059547626,28
0.058970352,28
0.058958764,28
0.058273538,28
0.058101071,28
0.057312875,28
0.056951935,28
0.056783357,28
0.056725854,28
0.056102665,28
0.055906108,28
0.055469575,28
0.055325928,28
0.055162784,28
0.055043149,28
0.05476495,28
0.054353705,28
0.05398954,28
0.053776683,28
0.053407874,28
0.053230692,28
0.053177107,28
0.052738539,28
0.052257267,28
0.05221688,28
0.05214142,28
0.051658311,28
0.050762507,28
0.048986869,28
0.048731642,28
0.048328456,28
0.0477242,28
0.047278912,28
0.04715282,28
0.046331346,28
0.045961851,28
0.045913814,28
0.045154589,28
0.044515911,28
0.043485854,28
0.043265764,28
0.042868824,28
0.042413433,28
0.04080563,28
0.040050823,28
0.039831395,28
0.075941573,27
0.074499962,27
0.070507383,27
0.065631808,27
0.064014416,27
0.063907568,27
0.06346814,27
0.063117694,27
0.062893638,27
0.061880982,27
0.06158814,27
0.06156767,27
0.060612936,27
0.060585198,27
0.060326702,27
0.059522604,27
0.059394156,27
0.059383942,27
0.05907173,27
0.058666667,27
0.058638141,27
0.058628355,27
0.057664019,27
0.056951154,27
0.055904962,27
0.055664439,27
0.055112962,27
0.055082071,27
0.054642794,27
0.054599761,27
0.054219616,27
0.05398649,27
0.053849818,27
0.052786669,27
0.052559999,27
0.052409749,27
0.052098041,27
0.052050613,27
0.050689438,27
0.050518006,27
0.050475612,27
0.050462818,27
0.050228905,27
0.04933205,27
0.04893547,27
0.048801743,27
0.048675517,27
0.048505358,27
0.048184484,27
